,Cluster,r2,mae,rmse,totalCapacity,location,averageHourlyRides,maxHourlyRides,topFeatures
0,0,0.9813741828452825,2.845952584365656,4.511711112605205,244,"((38.99, -77.03))",32.69588316958565,170.46875,"hour, Rainfall, Temp"
1,1,0.9550260477195011,1.1871839678762641,1.7774525882739791,237,"((38.92, -77.22))",8.967820493753718,43.75,"hour, Rainfall, Humidity"
2,2,0.989950938619335,8.7369313744631,14.785237590484053,294,"((38.86, -77.05))",126.63216272940258,773.4375,"hour, Rainfall, Temp"
3,3,0.996599986185394,30.24430391101543,51.986400449342995,653,"((38.91, -77.03))",809.0747667743093,4774.3125,"hour, isHoliday, day"
4,4,0.9474574130135122,1.3677000306560392,2.026873261890215,145,"((39.05, -77.12))",9.71752375843041,51.34375,"hour, Rainfall, Temp"
5,5,0.9631675180178338,1.573439763399324,2.548676126193296,188,"((38.89, -76.96))",13.217814461612747,73.625,"hour, Rainfall, Temp"
6,6,0.9793947716977098,2.4707261229829918,3.9672966959920775,273,"((38.84, -77.1))",26.139173571740077,136.3125,"hour, Rainfall, Temp"
7,7,0.7886897780751061,0.4495530012771392,0.6535867399178352,133,"((38.97, -77.34))",2.410839719029374,11.8125,"Temp, Humidity, Wind"
8,8,0.9891544111155961,8.680644379844962,15.400357749237704,553,"((38.81, -77.05))",128.82727713178295,802.875,"hour, Rainfall, Temp"
9,9,0.9916726433849543,8.687914613343443,15.115633777177885,310,"((38.89, -77.09))",145.89979387793784,859.84375,"hour, Rainfall, Temp"
10,10,0.9095239865515268,0.8707440856777494,1.2255626060902034,120,"((39.04, -77.05))",5.253536604859335,29.125,"Rainfall, hour, Temp"
11,11,0.9487216901279055,1.2678063802905875,1.9292165457964685,154,"((39.1, -77.19))",8.71221572962729,59.375,"Rainfall, hour, Humidity"
12,12,0.9927524385149512,10.053418005229735,17.201211165994636,351,"((38.88, -76.99))",181.103170526709,931.9375,"hour, Rainfall, Temp"
13,13,,,,41,"((39.0, -76.9))",,,
14,14,0.7558667174538729,0.40053353658536583,0.5674824851909314,47,"((38.9, -76.84))",2.094035823170732,8.53125,"Wind, Temp, Humidity"
15,15,0.9471917380520833,1.5025763641755634,2.1857929229275643,188,"((38.89, -77.17))",10.996867586002372,54.59375,"hour, Rainfall, Temp"
16,16,0.9866464760178557,4.1262858478802995,6.740887473617028,214,"((38.99, -77.1))",52.707852763923526,280.09375,"hour, Rainfall, Temp"
17,17,0.9905093452688412,4.580204652532391,8.070793586476087,279,"((38.93, -77.0))",72.10089075382804,532.40625,"hour, Rainfall, Temp"
18,18,0.781752353673556,0.3853742362525458,0.5263226930940601,129,"((39.04, -76.99))",2.144411914460285,7.40625,"hour, Temp, Humidity"
19,19,0.9946155514989448,59.1844852411807,113.0526782913119,967,"((38.9, -77.04))",1224.0155912526998,9257.71875,"hour, isHoliday, Temp"
20,20,0.9900370716223724,4.736033587935762,7.961307131436674,210,"((38.92, -77.09))",74.00089355660008,432.96875,"hour, Rainfall, Temp"
21,21,0.9958861337415549,28.847117652394775,53.76319814448136,606,"((38.91, -77.01))",691.9114091981132,4232.875,"hour, isHoliday, day"
22,22,0.9646177758532801,1.6200922586015538,2.9401512752223704,143,"((38.93, -76.97))",13.015000693673695,110.15625,"hour, Rainfall, day"
23,23,0.9345727041973806,0.8655663538873994,1.2366014912480239,238,"((38.85, -76.99))",6.634065013404825,27.25,"hour, Temp, Rainfall"
24,24,0.9213007308791109,1.2116803278688524,1.8294907414225468,143,"((38.81, -77.01))",7.142459016393443,35.53125,"Temp, hour, Rainfall"
25,25,0.884395846239354,0.6782118055555556,0.9810169242827397,134,"((38.88, -77.22))",3.8705150462962963,17.96875,"Temp, hour, Humidity"
26,26,0.9329333318721579,0.9525318917237088,1.383847168429715,160,"((38.96, -76.95))",6.404188705662725,30.125,"hour, Temp, Humidity"
